,제목,분류
0,반품이 안되는 경우도 있나요?,상품관련
1,반품/교환 신청을했는데 처리소요 시간이 얼마나되나요?,상품관련
2,현금 환불요청을 했는데 환불은 언제 되나요?,상품관련
3,신용카드 부분취소는 가능한가요?,상품관련
4,반품/교환 신청을했는데 처리소요 시간이 얼마나되나요?,상품관련
5,오늘 택배사에 직접 반품 신청 했습니다 언제 회수 방문 할까요?,상품관련
6,반품시 유의 사항,상품관련
7,제품을 반송한 송장번호를 분실했어요.,상품관련
8,무료배송쿠폰으로 반품하고 싶습니다. ,상품관련
9,옷이 불량입니다 교환 하고 싶은데요,상품관련
10,교환접수가 정상 처리되었다는 문자를 받았는데 교환상품이 왜 배송안되고 있는거죠?,상품관련
11,쥬얼리는 교환/반품이 어렵나요?,상품관련
12,"
							<교환/환불이 안되는 경우>

- 반품기간(7일)이 경과되었을 경우 교환/환불 불가능합니다.
[반품기간(7일)은 고객수령후 아뜨랑스에 반품/교환으로 입고되는 기간을 의미합니다]

- 상품의 텍을 제거했을 경우 교환/환불 불가능합니다.
- 상품 오염  훼손  착용흔적(레깅스포함)이 있을 경우 교환/환불 불가능합니다.
- 화장품은 개봉을 했거나 사용흔적이 있을 경우 교환/환불 불가능합니다. 
- 집냄새  향수냄새  착용으로 인한 스킨 로션 등의 냄새가 베어 있을 경우에는 교환/환불이 불가능합니다. 

위와 같은 경우에는 교환/환불이 불가능하며  
아뜨랑스 상품 상세 페이지 하단에 각각의 상품별 특성을 고려하여 
교환/환불이 불가능한 경우를 기재해드리고 있으니 해당 내용들을 참고해주시면 감사하겠습니다~

참고로  화이트 아이보리 색상은 반품시 처음 받으셨던 폴리비닐에 꼭 동봉하셔서 보내주시기를 권유드리며  
반품기간(7일) 내에 교환/환불 요청하실때에도 배송비는 고객 부담이라는 것을 참고해주시면 감사하겠습니다.

우리 고객님들께서 착용/사용하시기전에  받으신 상품에 이상이 있는지 꼭 확인하신 후 
고객센터/게시판/톡톡으로 연락주시기를 부탁드리며  

이너웨어및 비키니&수영복 상품은 바디에 바로 걸치시는 특유의 특성상
출고된 후에는 교환/환불이 어렵기 때문에 구입해주실때 조금 더 신중하게 쇼핑해주시기를 부탁드립니다^ ^


★반품시 함께 배송되어진 구성품 (옷걸이 엽서등)을 꼭 동봉해서 보내주세요. 
추가비용(2 000원)이 발생 할 수 있습니다.
★보내드린 사음품이 동봉되지 않았을 경우에는 판매가로 추가비용이 발생 할 수 있습니다.
ex)거울 3 000원. 물티슈 600원이 추가비용으로 발생됩니다.

★ 불량 교환&반품 전 참고해주세요

- 나염 상품 등 패턴으로 된 상품의 경우  원단이 잘라지는 위치에 따라
재단이 달라지기 때문에 패턴의 위치가 조금씩 다를 수 있으며  이는
상품의 하자 또는 불량사유에 해당되지 않습니다.

- 상품의 마감 처리가 미흡한 경우 (예: 실밥  본드자국  초크자국
박음질 불균형  지퍼의 퍽퍽함  단추 구멍이 완벽히 뚫리지 않는 경우
등) 은 상품의 하자 또는 불량사유에 해당되지 않습니다

- 컴퓨터 모니터 및 스마트폰 화면 등의 해상도 차이로 인해 실물과
색상 차이가 있을 수 있으며  상품 사이즈는 측정하는 방법에 따라 다를
수 있기 때문에 사이즈 오차 (1-3cm) 는 상품의 하자 또는 불량사유에
해당되지 않습니다.

- 구매하신 상품과는 관계없는 케이스  포장지 등의 파손은 상품의 하자
또는 불량사유에 해당되지 않습니다.

- 끈  벨트  단추  악세사리 등의 부속품 누락의 경우 불량사유에
해당되지 않습니다. (누락일경우 1:1게시판에 문의주시면 담당부서 확인
후 부속품만 별도 발송으로 진행 도와드리겠습니다)						",상품관련
13,"
							반송해주신 상품이 아뜨랑스 물류센터로 도착한뒤 2~3일 이내에 고객님에게 교환상품이 재발송 환불처리가 되고 있답니다.
최대 소요시간은 5일이 소요되고 있습니다.						",상품관련
14,"
							환불은 아뜨랑스를 통해 (게시판/전화) 접수 후 평일기준 2일~3일안으로 확인하시면 
환불처리가 완료됩니다!

*계좌번호가 틀리거나 저희쪽에 알려주신 정보가 일치하지 않으실 경우에는
환불이 되지 않고 있습니다. 오류가 났을 경우에는 저희가 문자로 안내 해 드리고 있습니다.~^^						",상품관련
15,"
							신용카드로 결제 후 주문취소/교환/반품 시 부분취소가 가능합니다.

다만  일부 카드에 대해서는
(즉시 할인  PG사 일정 기간 사용 가능 쿠폰  청구할인 적용 등) 부분 취소 처리가
불가능 한 경우가 있습니다.
부분 취소 처리가 불가능한 카드에 대해서는 취소 상품을 제외한 상품에 대하여 개인결제로 결제 후 전체취소로 진행됩니다.


- 개인 결제란?
취소 상품을 제외한 상품의 결제금액을 결제할 수 있도록 하는 시스템입니다.
개인결제는 아뜨랑스가 고객님과 직접 상담/등록하여 진행해 드리고 있습니다.

- 신용카드 취소 반영기간
신용카드 취소의 경우 주말을 제외한 영업일 기준 3~4일 정도 소요되며 카드사로 확인이 가능합니다.

[신용카드 부분취소 정보]

카드사 | 신용 | 체크 | 기프트 | 선불
--------------------------------------------------
삼성 | 가능 | 가능 | 불가 | 불가
롯데 | 가능 | 불가 | 불가 | 없음 
비씨 | 가능 | 가능 | 가능 | 없음 
신한 | 가능 | 가능 | 불가 | 불가
국민 | 가능 | 가능 | 가능 | 가능 
현대 | 가능 | 불가 | 불가 | 없음 
외환 | 가능 | 가능 | 불가 | 없음						",상품관련
16,"
							반송해주신 상품이 아뜨랑스 물류센터로 도착한뒤 2~3일 이내에 고객님에게 교환상품이 재발송 환불처리가 되고 있답니다.
최대 소요시간은 5일이 소요되고 있습니다.						",상품관련
17,"
							회수 신청후 약1~3일 이내로 택배기사님이 방문하며  주말과 공휴일은 방문이 불가 합니다.
영업소 사정에 의해서 시일이 더 소요될 수도 있습니다 
CJ대한통운 (1588-1255)으로 확인해 주세요.						",상품관련
18,"

반품시 함께 배송되어진 구성품 (옷걸이 엽서등)을 꼭 동봉해서 보내주세요. 
추가비용(2 000원)이 발생 할 수 있습니다.
보내드린 사음품이 동봉되지 않았을 경우에는 판매가로 추가비용이 발생 할 수 있습니다.
*ex)거울 3 000원. 물티슈 600원이 추가비용으로 발생됩니다.						",상품관련
19,"
							송장을 분실하셨어도 고객님께서 해당 택배사로 연락하셔서 고객님 정보(성함  연락처  주소  대략적인 발송일)를 알려주시면 확인이 가능합니다.
그러나 기간이 오래 경과된 경우 확인이 어려울 수 있으니  되도록 교환 및 반품처리가 완료될 때까지는 꼭 송장을 보관하시기 바랍니다						",상품관련
20,"
							이 쿠폰은 주문시에만 사용 가능한 1회성 쿠폰으로 반품시에는 사용 하실 수 없습니다.						",상품관련
21,"
							안녕하세요. 아뜨랑스 입니다~^▽^♡  
죄송합니다ㅠ
회수접수해 드리도록 하겠습니다.
(고객님께서는 택배사에 따로 접수 안하셔도 됩니다.)
회수접수해 드리면 회수기사님이 빠르면 익일부터
하루~이틀 사이 전화나 문자안내후 회수 예정입니다
불량 교환메모 꼭 동봉해서 보내 주시구요 
상품입고 확인후 교환처리 할수 있도록 하겠습니다
불량으로인해 이용에 불편드려 죄송합니다ㅠ;
다른 문의사항 있으실 경우 당사 홈페이지  
문의게시판(1:1문의)이나 톡톡에 문의 남겨주시면
빠르고 친절하게 답변드리도록 하겠습니다.

※톡톡을 이용해 제품 사진을 첨부해 주시면 상담시간이 단축 됩니다						",상품관련
22,"
							판매되는 모든 상품이 재고를 보유하는 상품이 아니다보니 교환 상품 입고후 준비되는 과정이 약2~5일정도 소요됩니다 
접수된 입금 날자로부터 준비에 들어가며  기본 배송일내에 최대한 빠름 출고가 될수 있도록 노력 하겠습니다.
교환접수 ☞ 기사님 제품 회수 요청  ☞ 동제품 입고요청  ☞ 동제품 입고  ☞ 제품회수 ☞ 아뜨랑스 입고 ☞ 교환제품 검품 ☞ 교환제품 출고  ☞ 택배사  ☞ 고객님 수령						",상품관련
23,"
							쥬얼리의 경우 

ex>목걸이  귀걸이 류 등은

주문 후 제작이 되는 오더메이드 상품으로 반품이 불가능합니다.

단  불량일경우 동일상품으로 교환해드리고있습니다.						",상품관련
24,가상계좌가 뭔가요?,주문
