,제목,분류
0,I가입/인증I 회원 가입은 어떻게 하나요?,회원
1,I로그인/정보I 회원 정보 수정은 어디서 하나요,회원
2,I탈퇴/기타I 비회원으로 구매를 하려고 하는데 주의해야 할 점이 있나요,회원
3,I탈퇴/기타I 회원 탈퇴는 어떻게 하나요?,회원
4,I탈퇴/기타I 회원 탈퇴를 취소하고 싶습니다.,회원
5,I혜택I 생일 쿠폰은 언제 발급되나요?,회원
6,I가입/인증I 휴대폰 번호 인증 시 이미 존재하는 휴대폰이라고 뜰 때는 어떻게 해야 하나요?,회원
7,I로그인/정보I 아이디 및 비밀번호를 변경할 수 있나요,회원
8,휴면 회원은 무엇인가요?,회원
9,I탈퇴/기타I 휴면 회원 전환 예정 메일을 받았어요.,회원
10,I로그인/정보I 아이디와 비밀번호가 기억나지 않아요.,회원
11,I가입/인증I 본인인증은 어떻게 하나요?,회원
12,I가입/인증I 문자가 오지 않아요.,회원
13,I가입/인증I 잘못했는데 초기화 가능한가요,회원
14,I가입/인증I 안되는 경우 상품은 구매 할 수 있나요?,회원
15,I로그인/정보I 소셜 로그인은 어떻게 이용하나요?,회원
16,I로그인/정보I 애플(Apple) 로그인 및 애플(Apple) 계정 연동이 안 됩니다.,회원
17,I로그인/정보I 소셜 로그인(카카오  Apple) 연동을 해제하고 싶어요. 어떻게 하면 되나요?,회원
18,I취소/반품(환불)I 상품을 받았는데 환불하고 싶어요.,상품관련
19,I취소/반품(환불)I 교환(환불)이 어려운 경우가 있나요?,상품관련
20,I취소/반품(환불)I 상품은 보냈는데 언제 환불 되나요?,상품관련
21,I취소/반품(환불)I 주문을 취소(옵션변경)를 하고 싶어요.,상품관련
22,I취소/반품(환불)I 실제 카드 취소나 금액은 언제 입금되나요?,상품관련
23,I취소/반품(환불)I 비용은 무료인가요?,상품관련
24,I취소/반품(환불)I 무탠 픽업 주문 후 환불 될 예정이라는 안내를 받았어요.,상품관련
25,I취소/반품(환불)I 부티크 보안실 제거 했는데 교환/환불 가능한가요?,상품관련
26,I취소/반품(환불)I 반품접수는 어떻게 하나요?,상품관련
