,제목,분류
0,회원등급별 할인혜택,회원
1,룸페커 회원혜택이 어떻게 되나요?,회원
2,첫구매 감사 6% 할인쿠폰이 궁금해요,회원
3,회원등급할인과 쿠폰할인이 합산되어 할인되지 않아요,회원
4,회원가입시 적은 회원정보가 기억나지 않아요,회원
5,회원정보를 변경하려면 어떻게 하나요?,회원
6,보유하고 있는 적립금/예치금은 어디서 확인할 수 있나요?,회원
7,ID와 비밀번호를 잊어버렸어요,회원
8,ID와 비밀번호가 맞는데 로그인이 안되요.,회원
9,다른 사람의 이름으로 메일이나 문자가 오고 있어요,회원
10,회원 탈퇴후 재가입은 언제쯤 가능한가요.,회원
11,회원탈퇴는 어떻게 하나요?,회원
12,탈퇴할때 사용했던 아이디로 재가입이 가능한가요?,회원
13,해외에 거주하는 사람도 회원가입이 가능하나요?,회원
14,회원 아이디는 변경할 수 없나요?,회원
15,회원탈퇴 후는 어떻게 되나요?,회원
16,주문 후 결제 수단을 변경할 수 있나요?,주문
17,한꺼번에 결제했는데 주소지를 각각 다른 곳으로 배송이 가능한가요?,주문
18,계좌입금 하려는데 계좌번호가 어떻게 되나요?,주문
19,주문완료후 내역확인은 어디서 하나요,주문
20,옵션(색상/사이즈/배송지 등) 변경은 어디서 하나요?,주문
21,입금을 했는데 주문접수가 되지않았어요,주문
22,전화로 주문하고 싶어요,주문
23,장바구니에 물건을 담아뒀는데 오늘 보니깐 없어졌어요  어떻게 된건가요?,주문
24,[입고예정]이라고 기재되었는데 공지된 날짜에 입고가 되나요? 저도 구매할 수 있나요?,주문
25,비회원 주문조회는 어떻게 하나요?,주문
26,주문내역 확인은 어디서 하나요?,주문
27,여러가지 상품을 함께 주문하려고 합니다. 어떻게 구매를 해야 할까요?,주문
28,따로 결제했는데 묶음 발송 요청이 가능한가요?,주문
29,비회원으로 주문하고 싶어요,주문
30,금액 상관없이 할부가 가능한가요?,주문
31,주문 후 며칠 내 입금해야 주문취소 되지 않나요?,주문
32,핸드폰결제 후 일부만 취소했는데 재결제를 하라고 하는데요. 왜 해야 하나요?,주문
33,카드결제 후 주문취소 했는데 카드대금에 청구 됐어요,주문
34,현금영수증 신청은 어떻게 하나요?,주문
35,예치/적립금으로 결제한 상품의 대해서 현금영수증 신청이 되나요?,주문
36,신용카드로 결제했는데  다른 방법으로 환불이 가능한가요?,주문
37,개인결제창이 무엇인가요?,주문
38,반품시 예치금 또는 적립금으로 결제한 금액을 환불받을수 있나요?,주문
39,카드결제 후 주문취소 했는데 돈은 언제 입금되나요?,주문
40,예치/적립금과 카드결제와 함께 결제가 가능한가요?,주문
41,적립금결제는 무엇이며 어떻게 결제하나요?,주문
42,예치금결제는 무엇이며 어떻게 결제하나요,주문
43,휴대폰결제는 무엇이며 어떻게 결제하나요?,주문
44,각각 주문서를 작성하여 총 3개의 주문서가 있습니다  한꺼번에 입금해도 되나요?,주문
45,입금했는데 입금확인이 왜 안되나요?,주문
46,입금은행명과 입금자명을 변경하고 싶은데 이미 주문서 작성후에는  변경이 불가한가요?,주문
47,무이자 할부가 가능한 카드가 어떻게 되나요?,주문
48,주문취소 했는데 신용카드가 취소되지 않았어요,주문
49,카드결제 후 일부상품을 취소하고 싶은데 부분취소가 가능한가요?,주문
50,배송 조회는 어디서 할 수 있나요?,배송
51,배송추적으로는 배송완료라고 나오는데 상품을 받지 못했어요.,배송
52, 배송비는 어떻게 되나요?,배송
53,오늘 배송완료 되었다는 문자를 받았는데 송장추적이 안되요,배송
54,주문한 상품중 일부 수령을 하지 못했는데 배송완료로 확인됩니다. 어떻게 된거죠?,배송
55,배송비착불로 결제  기사님 오시면 드리고 싶은데 가능한가요?,배송
56,추가주문으로 발생된 배송비는 이전 주문건과 묶음으로 배송이 가능한가요?,배송
57,당일배송 상품을 시켰는데 안오네요.,배송
58,배송완료로 확인되나 운송장 정보 조회가 되지 않아요,배송
59,일부 상품이 함께 배송되지 않았어요,배송
60,부분배송 안내 문자가 왔어요. 어떤 상품이 오는거죠?,배송
61,배송지연인데 부분배송 가능한가요?,배송
62,왜 배송이 지연되나요,배송
63,배송은 언제 오나요?,배송
64,배송대기중인데 주문취소나 상품변경  추가주문이 가능한가요?,배송
