,제목,분류
0,반품이 안되는 경우도 있나요?,상품관련
1,반품/교환 신청을했는데 처리소요 시간이 얼마나되나요?,상품관련
2,현금 환불요청을 했는데 환불은 언제 되나요?,상품관련
3,신용카드 부분취소는 가능한가요?,상품관련
4,반품/교환 신청을했는데 처리소요 시간이 얼마나되나요?,상품관련
5,오늘 택배사에 직접 반품 신청 했습니다 언제 회수 방문 할까요?,상품관련
6,반품시 유의 사항,상품관련
7,제품을 반송한 송장번호를 분실했어요.,상품관련
8,무료배송쿠폰으로 반품하고 싶습니다. ,상품관련
9,옷이 불량입니다 교환 하고 싶은데요,상품관련
10,교환접수가 정상 처리되었다는 문자를 받았는데 교환상품이 왜 배송안되고 있는거죠?,상품관련
11,쥬얼리는 교환/반품이 어렵나요?,상품관련
12,가상계좌가 뭔가요?,주문
13,주문자와 다르게 입금을 했는데 어떻게 하나요?,주문
14,카드결제후 취소를 했는데 청구서가 왔어요!,주문
15,현금영수증은 발급되나요?,주문
16,무통장계좌번호는 어떻게 되나요?,주문
17,입금확인은 언제되나요?,주문
18,입금을했는데 입금확인이 되질 않아요,주문
19,에스크로제도란 무엇인가요?,주문
20,배송메세지가 뭔가요 ?,주문
21,주문을 했는데 입금이 안되요?,주문
22,입금확인 되었는지  확인해보고 싶어요~,주문
23,주문을 여러번 나눠하고  입금은 한번에 했어요.,주문
24,결제시 적립금(마일리지) 사용하였는데 주문 취소할 경우 어떻게 되나요?,주문
25,카드취소했는데 카드사에서는 취소가 되지 않았어요,주문
26,적립금으로 구매시 구매금액의 적립금이 적용되나요?,주문
27,입금은행명과 입금자명을 변경하고 싶은데 이미 주문서 작성후에는  변경이 불가한가요?,주문
28,금액 상관없이 할부가 가능한가요?,주문
29,결제시 자꾸 오류가 나서 결제가 되지 않아요,주문
30,신용카드 취소 반영기간,주문
31,상품을 하나 더 추가 주문 하는데 취소하고 다시 결제해야하나요,주문
32,결제방법을 변경하고 싶어요,주문
33,실시간 계좌이체로 주문했는데 금액이 이체되지 않았어요  왜 그런가요,주문
34,입금을 했는데 주문서가 사라졌어요,주문
35,주문 후 배송기간은 얼마나 걸리나요?,주문
36,비회원도 주문 가능 한가요?,주문
37,방문해서 구매 가능 한가요?,주문
38,상품을 주문하려면 어떻게 해야 하나요?,주문
39,실시간 구매에서 주문가능이란 어떤거죠?,주문
40,주문후 주문번호가 오지 않았어요 어떻게 해야 하나요?,주문
41,전화주문은 불가능 한가요?,주문
42,여러가지 상품을 함께 주문하려고 합니다. 어떻게 구매를 해야 할까요?,주문
43,구매당시에 품절이 아니었는데 품절됐다는 연락왔어요!,주문
44,세일상품 품절관련,주문
45,주문하고 결제까지 했는데 왜 품절이 되죠?,주문
46,상품을 아직 못받았는데 수령을 눌렀어요.괜찮을까요?,주문
47,실시간 구매에서 주문가능이란 어떤거죠?,주문
48,배송되었다고 문자를 받았는데 송장 추적이 되지 않습니다. 배송된게 확실한가요?,배송
49,배송 지연인데 주문한 여러상품중 한 상품을 먼저 받을 수는 없나요?,배송
50,주문한 여러상품중 한 상품을 먼저 받을 수는 없나요?,배송
51,오늘출발에 대해서 알고 싶은데요?,배송
52,오늘출발 상품인데 왜 당일 출고가 안되나요?,배송
53,정확한 배송일이 궁금해요?,배송
54,이미주문했어요 다른옷도 주문 또하려는데 배송비는 어찌해야하죠? ,배송
55,아직 배송되지 않았다면 변경(색상 사이즈 주소)해주세요 / 주문을 취소해 주세요,배송
56,배송이 되었다는 문자를 받았는데 배송조회가 되질 않아요,배송
57,배송완료로 확인되는데 택배를 못받았어요,배송
58,추가주문으로 발생된 배송비는 이전 주문건과 묶음으로 배송이 가능한가요?,배송
59,교환 반품 주소지를 알고 싶어요,배송
60,해외배송으로 수령한 상품을 반품/교환하고 싶습니다.어떻게 해야하나요?,배송
61,새벽도착은 어떤 배송인가요?,배송
62,오늘도착은 어떤 배송인가요?,배송
63,배송되었다고 문자를 받았는데 송장 추적이 되지 않습니다. 배송된게 확실한가요?,배송
64,배송 지연인데 주문한 여러상품중 한 상품을 먼저 받을 수는 없나요?,배송
65,주문한 여러상품중 한 상품을 먼저 받을 수는 없나요?,배송
66,오늘출발에 대해서 알고 싶은데요?,배송
67,오늘출발 상품인데 왜 당일 출고가 안되나요?,배송
68,정확한 배송일이 궁금해요?,배송
69,이미주문했어요 다른옷도 주문 또하려는데 배송비는 어찌해야하죠? ,배송
70,아직 배송되지 않았다면 변경(색상 사이즈 주소)해주세요 / 주문을 취소해 주세요,배송
71,배송이 되었다는 문자를 받았는데 배송조회가 되질 않아요,배송
72,배송완료로 확인되는데 택배를 못받았어요,배송
73,추가주문으로 발생된 배송비는 이전 주문건과 묶음으로 배송이 가능한가요?,배송
74,교환 반품 주소지를 알고 싶어요,배송
75,해외배송으로 수령한 상품을 반품/교환하고 싶습니다.어떻게 해야하나요?,배송
76,새벽도착은 어떤 배송인가요?,배송
77,오늘도착은 어떤 배송인가요?,배송
